,smoothing,error_array
0,46,0.00111757387659
1,60,0.003751485356416
2,87,0.005844149516928
3,14,0.007198380881934
4,73,0.020681
5,65,0.021285407267865
6,11,0.021744185062328
7,88,0.023445610154984
8,3,0.025352
9,63,0.026522575543777
10,75,0.0292265
11,5,0.030819
12,69,0.031154128518703
13,34,0.032199953194134
14,72,0.032212188962308
15,22,0.036259811252082
16,28,0.036902791314631
17,53,0.037424410086363
18,17,0.038066329917857
19,26,0.039321056734412
20,32,0.0394182
21,95,0.039426228489701
22,85,0.039996969183281
23,31,0.040398648787118
24,7,0.041610618744332
25,24,0.043054068471285
26,65,0.0435706
27,31,0.047034374872224
28,65,0.047181932364023
29,19,0.050169043189028
30,29,0.05173968530309
31,30,0.052678556934025
32,38,0.053679262223943
33,6,0.054528085222117
34,86,0.058365267387168
35,60,0.058594564335296
36,80,0.059669240441259
37,21,0.060680238676334
38,43,0.064280821280395
39,38,0.069997528834321
40,79,0.0713553
41,78,0.071622
42,89,0.072259473633159
43,46,0.072478898992363
44,92,0.073141
45,40,0.073326166477029
46,42,0.075406595879485
47,63,0.075628566245778
48,55,0.076589778233158
49,5,0.076861615785007
50,52,0.077038335230929
51,92,0.077573645144417
52,75,0.07848696187022
53,24,0.078846703066263
54,95,0.079533249826366
55,80,0.080144518827507
56,67,0.081022606778072
57,62,0.082123278083534
58,26,0.082492829373724
59,10,0.083395660612904
60,69,0.085475171345487
61,34,0.088404035664312
62,55,0.089924936233777
63,85,0.092059923839345
64,44,0.093879
65,40,0.095085673500518
66,75,0.095804817639831
67,29,0.097926053828108
68,66,0.100106200234729
69,66,0.101987
70,90,0.10214413408636
71,84,0.111017372961055
72,39,0.120119059751578
73,82,0.121948374232651
74,22,0.129379700078649
75,8,0.130432542228393
76,34,0.131155414867332
77,7,0.133551091013138
78,83,0.134335
79,32,0.137357163317019
80,62,0.142142929094129
81,18,0.147132079154745
82,9,0.148699655398085
83,46,0.153326766937094
84,75,0.156188997523399
85,81,0.159881498049839
86,65,0.162619193955763
87,63,0.171114932168335
88,2,0.172180462778396
89,14,0.172760964670816
90,95,0.172764
91,3,0.2124443
92,95,0.223021107067571
93,77,0.244248249553178
94,79,0.256416530225037
95,48,0.278295161073287
96,54,0.350576675735036
97,38,0.359886913589125
98,64,0.748034910748865
